C:\Util\Anaconda3\python.exe C:/Users/santiago/Documents/GitHub/redes_neuronales/tp1-new/ej2_prueba_4_eta_y_momentum.py
->EPOCA=26, ETA=0.100, ERROR=0.033, ERROR_VAL=0.020, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=27, ETA=0.100, ERROR=0.033, ERROR_VAL=0.020, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=28, ETA=0.100, ERROR=0.033, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=29, ETA=0.100, ERROR=0.033, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=30, ETA=0.100, ERROR=0.032, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=31, ETA=0.100, ERROR=0.032, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=32, ETA=0.100, ERROR=0.032, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=33, ETA=0.100, ERROR=0.032, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=34, ETA=0.100, ERROR=0.032, ERROR_VAL=0.019, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=35, ETA=0.100, ERROR=0.031, ERROR_VAL=0.018, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=36, ETA=0.100, ERROR=0.031, ERROR_VAL=0.018, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=37, ETA=0.100, ERROR=0.031, ERROR_VAL=0.018, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=38, ETA=0.100, ERROR=0.031, ERROR_VAL=0.018, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=39, ETA=0.100, ERROR=0.030, ERROR_VAL=0.017, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=40, ETA=0.100, ERROR=0.030, ERROR_VAL=0.017, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=41, ETA=0.100, ERROR=0.029, ERROR_VAL=0.016, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=42, ETA=0.100, ERROR=0.029, ERROR_VAL=0.016, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=43, ETA=0.100, ERROR=0.028, ERROR_VAL=0.016, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=44, ETA=0.100, ERROR=0.027, ERROR_VAL=0.015, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=45, ETA=0.100, ERROR=0.026, ERROR_VAL=0.015, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=46, ETA=0.100, ERROR=0.025, ERROR_VAL=0.014, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=47, ETA=0.100, ERROR=0.025, ERROR_VAL=0.014, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=48, ETA=0.100, ERROR=0.024, ERROR_VAL=0.013, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=49, ETA=0.100, ERROR=0.023, ERROR_VAL=0.012, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=50, ETA=0.100, ERROR=0.022, ERROR_VAL=0.012, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=51, ETA=0.100, ERROR=0.021, ERROR_VAL=0.011, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=52, ETA=0.100, ERROR=0.020, ERROR_VAL=0.010, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=53, ETA=0.100, ERROR=0.019, ERROR_VAL=0.009, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=54, ETA=0.100, ERROR=0.018, ERROR_VAL=0.008, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=55, ETA=0.100, ERROR=0.017, ERROR_VAL=0.007, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=56, ETA=0.100, ERROR=0.016, ERROR_VAL=0.006, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=57, ETA=0.100, ERROR=0.014, ERROR_VAL=0.005, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=58, ETA=0.100, ERROR=0.014, ERROR_VAL=0.004, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=59, ETA=0.100, ERROR=0.013, ERROR_VAL=0.004, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=60, ETA=0.100, ERROR=0.013, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=61, ETA=0.100, ERROR=0.012, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=62, ETA=0.100, ERROR=0.012, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=63, ETA=0.100, ERROR=0.012, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=64, ETA=0.100, ERROR=0.011, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=65, ETA=0.100, ERROR=0.011, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=66, ETA=0.100, ERROR=0.011, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=67, ETA=0.100, ERROR=0.011, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=68, ETA=0.100, ERROR=0.011, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=69, ETA=0.100, ERROR=0.011, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=70, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=71, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=72, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=73, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=74, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=75, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=76, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=77, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=78, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=79, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=80, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=81, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=82, ETA=0.100, ERROR=0.010, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=83, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=84, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=85, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=86, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=87, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=88, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=89, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=90, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=91, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=92, ETA=0.100, ERROR=0.009, ERROR_VAL=0.003, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=93, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=94, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=95, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=96, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=97, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=98, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=99, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=100, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=101, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=102, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=103, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=104, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=105, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=106, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=107, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=108, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=109, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=110, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=111, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=112, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=113, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=114, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=115, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=116, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=117, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=118, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=119, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=120, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=121, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=122, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=123, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=124, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=125, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=126, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=127, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=128, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=129, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=130, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=131, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=132, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=133, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=134, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=135, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=136, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=137, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=138, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=139, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=140, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=141, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=142, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=143, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=144, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=145, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=146, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=147, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=148, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=149, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=150, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=151, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=152, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=153, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=154, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=155, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=156, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=157, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=158, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=159, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=160, ETA=0.100, ERROR=0.009, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=161, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=162, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=163, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=164, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=165, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=166, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=167, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=168, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=169, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=170, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=171, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=172, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=173, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=174, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=175, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=176, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=177, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
->EPOCA=178, ETA=0.100, ERROR=0.008, ERROR_VAL=0.002, MOMENTUM=0.500, BATCH=1, EARLY-STOP=0.00, PARAMETROS ADAPTATIVOS=0
